年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
139.0,8.1984,12.956400000000002,21.1548,0.834,48,55,14.0,0.7,0.6952999999999999,2.4000000000000004,113.9012,25.098799999999997,18.1,16.47999999999854,
139.5,8.1984,12.956400000000002,21.1548,0.8376,48,55,14.5,0.725,0.724775,2.45,114.3176,25.1824,18.1,16.720000000000823,
140.0,8.1984,12.956400000000002,21.1548,0.84,48,55,15.0,0.75,0.74425,2.5,114.7452,25.254800000000003,18.0,14.48000000000036,
140.5,8.1984,12.956400000000002,21.1548,0.8424,48,55,15.5,0.775,0.773725,2.5500000000000003,115.1628,25.337199999999996,18.0,16.47999999999854,
141.0,8.1984,12.956400000000002,21.1548,0.846,48,55,15.9,0.795,0.793305,2.59,115.5992,25.400800000000004,18.0,12.720000000001619,
141.5,8.1984,12.956400000000002,21.1548,0.8496,48,55,16.4,0.82,0.81278,2.64,116.0256,25.474400000000003,18.0,14.7199999999998,
142.0,8.1984,12.956400000000002,21.1548,0.852,48,55,16.9,0.845,0.842255,2.69,116.4432,25.556799999999996,18.0,16.47999999999854,
142.5,8.1984,12.956400000000002,21.1548,0.8544,48,55,17.4,0.87,0.86173,2.7399999999999998,116.8708,25.629199999999997,18.0,14.48000000000036,
143.0,8.1984,12.956400000000002,21.1548,0.858,48,55,17.9,0.895,0.891205,2.79,117.2872,25.7128,18.0,16.720000000000823,
143.5,8.1984,12.956400000000002,21.1548,0.8604,48,55,18.4,0.92,0.91068,2.84,117.7148,25.785200000000003,18.0,14.48000000000036,
144.0,8.1984,12.956400000000002,21.1548,0.864,48,55,18.9,0.945,0.940155,2.89,118.1312,25.868799999999993,18.0,16.71999999999798,
144.5,8.1984,12.956400000000002,21.1548,0.8676,48,55,19.4,0.97,0.96963,2.94,118.5476,25.952399999999997,18.0,16.720000000000823,
145.0,8.1984,12.956400000000002,21.1548,0.87,48,55,19.9,0.995,0.989105,2.99,118.9752,26.0248,17.9,14.48000000000036,
145.5,8.1984,12.956400000000002,21.1548,0.8736,48,55,20.4,1.02,1.01858,3.04,119.3916,26.108400000000003,17.9,16.720000000000823,
146.0,8.1984,12.956400000000002,21.1548,0.876,48,55,20.9,1.045,1.038055,3.09,119.8192,26.180800000000005,17.9,14.48000000000036,
146.5,8.754000000000001,13.834800000000001,22.588800000000003,0.8784,48,55,20.0,1.0,0.999,3.0,119.0128,27.4872,18.8,261.2799999999993,
147.0,8.754000000000001,13.834800000000001,22.588800000000003,0.882,48,55,20.5,1.025,1.018475,3.0500000000000003,119.4392,27.5608,18.7,14.7199999999998,
147.5,8.754000000000001,13.834800000000001,22.588800000000003,0.8856,48,55,21.0,1.05,1.0479500000000002,3.1,119.8556,27.644400000000005,18.7,16.720000000000823,
148.0,8.754000000000001,13.834800000000001,22.588800000000003,0.888,48,55,21.5,1.075,1.067425,3.1500000000000004,120.2832,27.716800000000006,18.7,14.48000000000036,
148.5,8.754000000000001,13.834800000000001,22.588800000000003,0.8904,48,55,22.0,1.1,1.0969000000000002,3.2,120.7008,27.7992,18.7,16.47999999999854,
149.0,8.754000000000001,13.834800000000001,22.588800000000003,0.894,48,55,22.5,1.125,1.116375,3.25,121.1272,27.872799999999998,18.7,14.7199999999998,
149.5,8.754000000000001,13.834800000000001,22.588800000000003,0.8964,48,55,23.0,1.15,1.14585,3.3000000000000003,121.5448,27.955200000000005,18.7,16.480000000001382,
150.0,8.754000000000001,13.834800000000001,22.588800000000003,0.9,48,55,23.5,1.175,1.165325,3.35,121.9712,28.028800000000004,18.7,14.7199999999998,
150.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9036,48,55,24.0,1.2,1.1947999999999999,3.4000000000000004,122.3876,28.112399999999994,18.7,16.71999999999798,
151.0,8.754000000000001,13.834800000000001,22.588800000000003,0.906,48,55,24.5,1.225,1.224275,3.45,122.8052,28.1948,18.7,16.480000000001382,
151.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9096,48,55,25.0,1.25,1.24375,3.5,123.2316,28.2684,18.7,14.7199999999998,
152.0,8.754000000000001,13.834800000000001,22.588800000000003,0.912,48,55,25.4,1.27,1.26333,3.54,123.6692,28.330799999999996,18.6,12.479999999999336,
152.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9144,48,55,25.9,1.295,1.292805,3.59,124.0868,28.413200000000003,18.6,16.480000000001382,
153.0,8.754000000000001,13.834800000000001,22.588800000000003,0.918,48,55,26.4,1.32,1.3122800000000001,3.64,124.5132,28.486800000000002,18.6,14.7199999999998,
153.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9216,48,55,26.9,1.345,1.341755,3.69,124.9296,28.570400000000006,18.6,16.720000000000823,
154.0,8.754000000000001,13.834800000000001,22.588800000000003,0.924,48,55,27.4,1.37,1.36123,3.74,125.3572,28.642799999999994,18.6,14.479999999997517,
154.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9264,48,55,27.9,1.395,1.3907049999999999,3.79,125.7748,28.7252,18.6,16.480000000001382,
155.0,8.754000000000001,13.834800000000001,22.588800000000003,0.93,48,55,28.4,1.42,1.41018,3.84,126.2012,28.7988,18.6,14.7199999999998,
155.5,8.754000000000001,13.834800000000001,22.588800000000003,0.9324,48,55,28.9,1.445,1.439655,3.89,126.6188,28.881200000000007,18.6,16.480000000001382,
156.0,9.3108,14.7132,24.024,0.936,48,55,28.0,1.4,1.3905999999999998,3.8000000000000003,125.82,30.180000000000007,19.3,259.76,
156.5,9.3108,14.7132,24.024,0.9396,48,55,28.5,1.425,1.420075,3.85,126.2364,30.263599999999997,19.3,16.71999999999798,
157.0,9.3108,14.7132,24.024,0.942,48,55,29.0,1.45,1.44955,3.9000000000000004,126.654,30.346000000000004,19.3,16.480000000001382,
157.5,9.3108,14.7132,24.024,0.9456,48,55,29.5,1.475,1.469025,3.95,127.0804,30.419600000000003,19.3,14.7199999999998,
158.0,9.3108,14.7132,24.024,0.948,48,55,30.0,1.5,1.4985,4.0,127.498,30.501999999999995,19.3,16.47999999999854,
158.5,9.3108,14.7132,24.024,0.9504,48,55,30.5,1.525,1.517975,4.050000000000001,127.9256,30.574399999999997,19.3,14.48000000000036,
